;OPCODE					MNEMONIC		BYTES		CYCLES					FLAGS		DESCRIPTION


;PRIMARY INSTRUCTIONS

00000000				nop			1		1F					--------	No operation is performed.
00001000				ex af,af'		1		1F					--------	Exchanges the contents of .reg24af[3;1] and .reg24sh[3;1].
00010000........			djnz ofs8		2		b-1 ? 3F+1 : 2F				--------	.reg8[0;1] is decremented, and if not zero, the signed value .imm8[] is added to .regpc[]. The jump is measured from the start of the instruction opcode.
00011000........			jr ofs8			2		3F					--------	The signed value .ofs8[] is added to .regpc[]. The jump is measured from the start of the instruction opcode.
001..000........			jr cc,ofs8		2		cc ? 3F+1 : 2F				--------	If condition .cc[] is true, the signed value .ofs8[] is added to .regpc[]. The jump is measured from the start of the instruction opcode.

00..0001................		ld reg24,imm24		4		(3+.il)F				--------	Loads .imm24[] into .reg24[].
00..1001				add hl,reg24		1		1F					---H--NC	The value of .reg24[] is added to .reg24[2;1].

00000010				ld (bc),a		1		1F+1W					--------	Stores .reg8[7;1] into the byte of memory pointed to by .reg24[0;1].
00010010				ld (de),a		1		1F+1W					--------	Stores .reg8[7;1] into the byte of memory pointed to by .reg24[1;1].
00100010................		ld (imm24),hl		4		(3+.il)F+(2+.l)W			--------	Stores .reg24[2;1] into the word of memory pointed to by .imm24[].
00110010................		ld (imm24),a		4		(3+.il)F+1W				--------	Stores .reg8[7;1] into the byte of memory pointed to by .imm24[].
00001010				ld a,(bc)		1		1F+1R					--------	Loads the byte of memory pointed to by .reg24[0;1] into .reg8[7;1].
00011010				ld a,(de)		1		1F+1R					--------	Loads the byte of memory pointed to by .reg24[1;1] into .reg8[7;1].
00101010................		ld hl,(imm24)		4		(3+.il)F+(2+.l)R			--------	Loads the word of memory pointed to by .imm24[] into .reg24[2;1].
00111010................		ld a,(imm24)		4		(3+.il)F+1R				--------	Loads the byte of memory pointed to by .imm24[] into .reg8[7;1].

00..0011				inc reg24		1		1F					--------	Adds one to .reg24[].
00..1011				dec reg24		1		1F					--------	Subtracts one from .reg24[].

00110100				inc (hl)		1		1F+1R+1W+1				SZ-H-VN-	Adds one to .reg8[6].
00...100				inc reg8		1		1F					SZ-H-VN-	Adds one to .reg8[].

00110101				dec (hl)		1		1F+1R+1W+1				SZ-H-VN-	Subtracts one from .reg8[6].
00...101				dec reg8		1		1F					SZ-H-VN-	Subtracts one from .reg8[].

00110110........			ld (hl),imm8		2		2F+1W					--------	Loads .imm8[] into .reg8[6].
00...110........			ld reg8,imm8		2		2F					--------	Loads .imm8[] into .reg8[].

00000111				rlca			1		1F					---0--0C	The contents of .reg8[7;1] are rotated left one bit position. The contents of bit 7 are copied to the carry flag and bit 0.
00001111				rrca			1		1F					---0--0C	The contents of .reg8[7;1] are rotated right one bit position. The contents of bit 0 are copied to the carry flag and bit 7.
00010111				rla			1		1F					---0--0C	The contents of .reg8[7;1] are rotated left one bit position. The contents of bit 7 are copied to the carry flag and the previous contents of the carry flag are copied to bit 0.
00011111				rra			1		1F					---0--0C	The contents of .reg8[7;1] are rotated right one bit position. The contents of bit 0 are copied to the carry flag and the previous contents of the carry flag are copied to bit 7.
