Category,Sub-category,Sub-sub-category,Name,Readable Name,Readable Name (FR),# of bytes,Byte 1,Byte 2,Variable R/W status,Type,Argument(s) type(s) & value(s),Return type & value,Comments,Description
,,,,,,1,0,,,Other,,,,
,,,\uf014DMS,►DMS,►DMS,1,01,,,Postfix operator,,,,
,,,\uf014Dec,►Dec,►Dec,1,02,,,Postfix operator,,,,
,,,\uf014Frac,►Frac,►Frac,1,03,,,Postfix operator,,,,
,,,\u2192,→,→,1,04,,,Delimiter,,,,
,,,Boxplot,Boxplot,Carré,1,05,,,Other,,,,
,,,[,[,[,1,06,,,Text/Symbol only,,,,
,,,],],],1,07,,,Text/Symbol only,,,,
,,,{,{,{,1,08,,,Text/Symbol only,,,,
,,,},},},1,09,,,Text/Symbol only,,,,
,,,\uf001,ʳ,ʳ,1,0A,,,Postfix operator,,,,
,,,\u00b0,°,°,1,0B,,,Postfix operator,,,,
,,,\uf005,ˉ¹,ˉ¹,1,0C,,,Postfix operator,,,,
,,,\u00b2,²,²,1,0D,,,Postfix operator,,,,
,,,\uf002,ᵀ,ᵀ,1,0E,,,Postfix operator,,,,
,,,\uf00d,³,³,1,0F,,,Postfix operator,,,,
,,,(,(,(,1,10,,,Other,,,,
,,,),),),1,11,,,Other,,,,
,,,round(,round(,arrondi(,1,12,,,Function,,,,
,,,pxl-Test(,pxl-Test(,pxl-Test(,1,13,,,Function,,,,
,,,augment(,augment(,chaîne(,1,14,,,Function,,,,
,,,rowSwap(,rowSwap(,permutLigne(,1,15,,,Function,,,,
,,,row+(,row+(,ligne+(,1,16,,,Function,,,,
,,,*row(,*row(,*ligne(,1,17,,,Function,,,,
,,,*row+(,*row+(,*ligne+(,1,18,,,Function,,,,
,,,max(,max(,max(,1,19,,,Function,,,,
,,,min(,min(,min(,1,1A,,,Function,,,,
,,,R\uf014Pr(,R►Pr(,R►Pr(,1,1B,,,Function,,,,
,,,R\uf014P\u03b8(,R►Pθ(,R►Pθ(,1,1C,,,Function,,,,
,,,P\uf014Rx(,P►Rx(,P►Rx(,1,1D,,,Function,,,,
,,,P\uf014Ry(,P►Ry(,P►Ry(,1,1E,,,Function,,,,
,,,median(,median(,médianne,1,1F,,,Function,,,,
,,,randM(,randM(,MatAléat(,1,20,,,Function,,,,
,,,mean(,mean(,moyenne(,1,21,,,Function,,,,
,,,solve(,solve(,résoudre(,1,22,,,Function,,,,
,,,seq(,seq(,suite(,1,23,,,Function,,,,
,,,fnInt(,fnInt(,fnInt(,1,24,,,Function,,,,
,,,nDeriv(,nDeriv(,nDeriv(,1,25,,,Function,,,,
,,,fMin(,fMin(,fMin(,1,27,,,Function,,,,
,,,fMax(,fMax(,fMax(,1,28,,,Function,,,,
,,, , , ,1,29,,,Text/Symbol only,,,,
,,,"""","""","""",1,2A,,,Delimiter,,,,
,,,",",",",",",1,2B,,,Text/Symbol only,,,,
,,,\uf02f,i,i,1,2C,,Read-only,Constant,,,Complex i,
,,,!,!,!,1,2D,,,Postfix operator,,,,
,,,CubicReg ,CubicReg ,RegCubique ,1,2E,,,Function,,,,
,,,QuartReg ,QuartReg ,RegQuatre ,1,2F,,,Function,,,,
,,,0,0,0,1,30,,Read-only,Constant,,,,
,,,1,1,1,1,31,,Read-only,Constant,,,,
,,,2,2,2,1,32,,Read-only,Constant,,,,
,,,3,3,3,1,33,,Read-only,Constant,,,,
,,,4,4,4,1,34,,Read-only,Constant,,,,
,,,5,5,5,1,35,,Read-only,Constant,,,,
,,,6,6,6,1,36,,Read-only,Constant,,,,
,,,7,7,7,1,37,,Read-only,Constant,,,,
,,,8,8,8,1,38,,Read-only,Constant,,,,
,,,9,9,9,1,39,,Read-only,Constant,,,,
,,,.,.,.,1,3A,,,Text/Symbol only,,,,
,,,\uf000,ᴇ,ᴇ,1,3B,,,Infix operator,,,,
,,," or "," or "," ou ",1,3C,,,Infix operator,,,,
,,," xor "," xor "," ouExcl ",1,3D,,,Infix operator,,,,"on French CE, it is still ' xor '..."
,,,:,:,:,1,3E,,,Delimiter,,,,
,,,\n,"
","
",1,3F,,,Delimiter,,,,
,,," and "," and "," et ",1,40,,,Infix operator,,,,
,,,A,A,A,1,41,,Read/Write,Variable,,,,
